Instruction,Gold Standard Response (Tunisian Arabic)
كيفاش نكتب فقرة على العلاقات بين الصحاب؟,ابدأ احكي على أهميّة الصداقة في الحياة و وضّح كيفاش الصاحب الباهي يكون و يتصرّف معاك. و احكي كيفاش مهم تحافظ على صداقتكم و تختار صحابك بالباهي.
علاش تمشي البحر في الصيف,خاطر الدنيا تبدأ سخانة برشة و البحر يبرّد و يفرشك، و زيد تعمل جو.
كيفاش نطيب ملوخية تونسية,"بش اطيّب ملوخية تونسية، تستحق: ملوخية بودر، طرّوف لحم هبرة، طماطم حكّة، هريسة عربي، ورق رند، تابل، زيت زيتونة، فلفل أحمر و ملح.

أوّل حاجة، تفوّح اللحم بالثوم، الهريسة، ورق الرند، الفلفل الأحمر، التابل و الزيت، و تخلّطهم و تخلّيهم يرتاحو.

بعد، حطّ الملوخية في كسرونة و غطّيها بالزيت، و خّلطها.

زيد عليها البصل، طماطم حكّة، ورق الرند، و امرق. غطّيها و خليها اطيب 5 ساعات على الأقل على نار هادئة و امرق عينك ميزانك.

بعد، زيد اللحم و خليها اطيب. كي تقّر زيتها، تعرفها حاضرة.
"
شنوة برنامجك اليوم؟,نجاوب على اسئلتك
كيفاش نطيب الكيش,إنت و باش تحبّها، أغلبية الكيش يتعملو باللحم و إلا بالدجاج، و الجبن و العضم، تخلّطهم و تحطهم فوق عجينة الكيش الحاضرة و تحطها تطيب في الفرن. فمّا شكون زادة يحط فيها بطاطا، بصل، معدنوس، زيتون...
كيفاش  كان أول نهار في امريكا,أمريكا تختلف برشة على تونس في برشا حاجات. أمريكا بلاد كبيرة برشة، ومنظّمة ومزيانة، و ناسها طيبين.
كيفاش يتكتب اسمك بالفرنسية؟,Intelligence Artificielle
علاش في العطلة نمشيو نتفرهدو,خاطر نحبّو نخرجو شوية من روتين القراية و الخدمة و نبدّلو الجوّ و نكتشفو بلايص جديدة والا نرتاحو.
شنو الفرق بين الدكتوراه في تونس والدكتوراه في امريكا,الدكتوراه في تونس والدكتوراه في أمريكا تختلف برشة. في تونس، عادة تاخو 3–4 سنين بعد  الماستار، والبرنامج يركّز أكثر على الrecherche و les cours مش برشة. التمويل محدود و الطلبة يعمّلو على منح وإلاّ خدم صغيرة، والencadrant يقود الrecherche بطريقة مباشرة. النشر الدولي مش مهمّ برشة، وفماش برشة concurrence. أمّا في أمريكا، الدكتوراه تاخو 5–7 سنين، وساعات الطالب يبدى مباشرة بعد البكالوريوس. في البداية ياخذ des cours  وdes séminaires  قبل ما يبدى الrecherche، والتمويل ديما مضمون مع stipend. الطالب عنده استقلالية كبيرة في الrecherche والencadrant يعاونو، ولازم ينشر مقالات علمية في مجلاّت و إلاّ des conférences، والجوّ الأكاديمي أكثر concurrence و فمّا برشة أنشطة.
كيفاش نجم نطيب شكشوكة؟,في كسرونة، حطّ زيت زيتونة، بصل و ثوم و فلفل أخضر و قلّيهم. زيد طماطم حكّة، و كان تحبcrevettes وإلاّ قديد، و طماطم فرشكة مقصوصة كاروات. فوّحها بالهريسة العربي، تابل، كركم، فلفل أحمر و ملح، و امرق شويّة و خليه يطيب، و بعد زيد العضم.
كيفاش نجّم نعمل ڨاتو بل فراز,سخّن الفور على 180°C. بعد، في صحفة، خلّط 3 عضمات مع 100 غ سكر و sachet sucre vanille. بعد، زيد 100 غ فرينة بالشوية بالشوية و خلّط. زيد عليها 50 غ زبدة ذايبة و خلّط. حطّها في الفرن و خليه يطيب نص ساعة. بعد ما يطيب، خليه يبرد و زيّنه بالfraise و الكريمة شانتيه كان تحب.
كيفاش نظم وقتي؟ و نوفق بين برشا حاجات و في نفس الوقت نعمل هواياتي؟,حدّد أولوياتك،  على حسب أنيها أكثر حاجة مستعجلة و مهمة، ابدأ بالمهام الصغار و حاول تعمل جدول واضح و متنساش تخصّص وقت للراحة.
علاش الناس تبدلت وماعادش تضحك في وجوه بعضها؟,خاطر الدنيا صعابت و الناس ولات stressés و عندها مشاكل، و زيد السوشيال ميديا بدلّتهم، و ولاو ديما في تليفوناتهم و مسكرين على رواحهم.
كيفاش نتميز في قرايتي؟,نظّم وقتك، ركّز على الفهم أكثر من الحفاظة، و حاول ديما تاخو ملاحظات في الكور كي يبدأ البروف يفسّر. ديما راجع و خلّى روحك à jour . اخدم des exercices و des devoirs، و راجع مع صحابك و تناقشوا في القراية. كول و ارقُد بالقدى.
وقتاش تزهالنا ليام ؟,ما فماش وقت معيّن، هذا إحساس يمشي و يجي حسب المود متاعك. حاول تعمل الحاجات اللّي تحبها و تفرّحك، و تشوف الإيجابي في الدنيا. اخدم على مستقبلك و عدّي وقت مع أحبابك.
اني بروف فرانسية نحب نعمل سوؤال للتلامذا متع اربط بسهم الموضوع يحكل على تصريف الافعال,"1/ Je _______ au cinéma hier.

2/ Tu _______ ton café tous les matins.

3/ Nous _______ le projet demain.

4/ Elle _______ ses devoirs chaque soir.

5/ Ils _______ à Paris la semaine dernière.
a. suis allé
b. allons finir
c. prends
d. fait
e. sont allés"
كيفاش يبدا العبد فرحان في الدنيا؟,"بش يكون العبد فرحان في الدنيا، لازم يركّز على الحاجات البسيطة.
أوّل حاجة، يرضى و يحمد ربّي على اللي عندو و يبعد على الحسد.
ثاني حاجة، يعاون العباد و يعمل الخير و يعطي معنى للدنيا.
وزادة لازم يتلهى ببدنو و صحتو و حتى نفسيته، يرقُد و ياكل بالقدى و يحرّك بدنو بأي نشاط و يدوّر روحو بالناس الباهية الإجابية."
شنوا اهم الحاجات الي لازم يتوفروا في فقرة باللغة الانجليزية ؟,بداية، جوهر و خاتمة. لازم تكون فقرة واضحة و ما فيهاش أغلاط
كيفاش نتغرم بالمطالعة؟,بش تتغرم بالمطالعة، ابدا بكتب ساهلين و قصار على مواضيع تحبها، و حاول تخصّص 10–15 دقيقة كل يوم مثلاً قبل النوم بش تقرا. اختار بلاصة مرتاحة وcalme، و حضّر معاها كاس تاي وإلاّ قهوة بش تتشجّع. ما تكونش صعيب على روحك، ابدا بالشويّة و بعد قوّي في الريتم و اختار كتب أصعب. partagi اللي قريتو مع صحابك وإلاّ على السوشيال ميديا و ناقش الكتب اللي قريتهم.
كيفاش نطور روحي و شخصيتي؟,بش اطوّر روحك وشخصيتك، لازم تبدأ تتعرّف على روحك: شنوّة تحب، شنوّة ما يعجبكش، وشنوّة النقاط اللي تحب تحسّنها. حط أهداف صغيرة وكبيرة وحاول تخدم عليهم. تعلّم كل يوم حاجة جديدة. حافظ على صحتك. زيد حسّن من علاقاتك وتقبّل النقد البنّاء باش تكبر شخصيتك. وما تخافش تجرب حاجات جديدة.
كيفاش نتحصل على معدل قوي ؟,نظّم وقتك، ركّز على الفهم أكثر من الحفاظة، و حاول ديما تاخو ملاحظات في الكور كي يبدأ البروف يفسّر. ديما راجع و خلّى روحك à jour . اخدم des exercices و des devoirs، و راجع مع صحابك و تناقشوا في القراية. كول و ارقُد بالقدى.
اكتبلي فقرة على شخص يعاني من التنمر والعنصرية,ثمّة ولد اسمو آدم كان ديما يحس روحو مختلف على صحابو في المدرسة، خاطر لونو ولبستو ما يشبهوش للآخرين. كل يوم يتعرض للتنمر، صحابو يضحكو عليه ويقولولو كلام يجرح، والعباد تحقرو كأنو موش موجود. آدم كان يحس روحو حزين ووحدو، وما يحبش يمشي يقرى. بالرغم من هذا الكل، قرر ما يستسلمش، ومشى حكى مع أستاذتو وطلب منها تعاونو. مع الوقت، لقا صحاب جدد يحبوه كيما هو، وتعلّم يثق في روحو ويواجه الكلام الخايب بالشجاعة.
كيفاش تضمن النجاح في اي خطوة تعملها؟,ما تنجمش ديما تضمن النجاح، ثمّة حاجات خارجة على السيطرة متاعنا ساعات. أما باش تعمل اللي عليك، حاول تخمّم مليح في أهدافك، كون منظم و صبور، ما يجي شي بالساهل. تعلّم من أغلاطك و آمن بروحك و دوّر روحك بعباد يامنوا بيك.
كيفاش تتحسن في اللغة الانجليزية ؟,اقرا كل يوم حاجة بالanglais: كتب، مقالات، ولا حتى أخبار. حاول تسمع موسيقى بالanglais، بودكاست، أفلام ولا مسلسلات. و أهم حاجة، pratiqui مع صحابك باش تستانس. حاول تتعلم كل يوم كلمات جدد و اكتبهم.
علاش التعليم تونسي صعيب,خاطر كمية المعلومات برشة و عندك برشة مواد، صعيب تركّز عليهم الكلّ، توّلي  تحفظ أكثر من اللّي تفهم. و زيد، برشة ناس ولات تعمّل على études أكثر، qualité متعles cours طاحت. و زيد، في تونس فما برشة منافسة على البلايص في الجامعات الرّاقية، لذلك لازم كل واحد يحاول بش يضمن بلاصته و يقرا برشة.
تنجم تعملي فقرة على مشاركة المسؤوليات الأسرية,مشاركة المسؤوليات الأسرية مهمّة بش العائلة يبداو عايشين متفاهمين. كل واحد في العائلة لازم يشارك حسب قدراتو: الوالدين يوفروا الفلوس و التربية، والصغار يعاونو على القضية حسب أعمارهم. كي كل واحد يعاون، الجو في الدار يكون خير والصغار نهار اخر يكونوا مسؤولين اكثر. 
تنجم تعملي فقرة على العراك متع الشباب مع اولياءهم على المصروف, برشة شباب ولاو يتعاركو مع والديهم على المصروف. ساعات على خاطر الصغار يبدوا مدلّلين و يصرفوا برشة، و ساعات على خاطر الوالدين ما همش يوفّرولهم في مصروف يكفيهم وإلاّ يحبوا يعلّموهم المسؤولية. من الأحسن يحسبوا مع بعضهم حسب احتياجات الصغير قدّاش لازم يعطيوه، و هو لازم يلتزم بالمصروف اللّي يجيه.
كيفاش ننجح في قرايتي؟,نظّم وقتك، ركّز على الفهم أكثر من الحفاظة، و حاول ديما تاخو ملاحظات في الكور كي يبدأ البروف يفسّر. ديما راجع و خلّى روحك à jour . اخدم des exercices و des devoirs، و راجع مع صحابك و تناقشوا في القراية. كول و ارقُد بالقدى.
عسلامة,عسلامة كيفاش انجم نعاونك؟
كيفاش نعمل باراغراف على الصحاب,ابدأ احكي على أهميّة الصداقة في الحياة و وضّح كيفاش الصاحب الباهي يكون و يتصرّف معاك. و احكي كيفاش مهم تحافظ على صداقتكم و تختار صحابك بالباهي.
كيف يمكنني التخلص من التوتر ؟,باش تتخلّص من الstress، حاول تتنفّس بالقدى و بالشويّة، اعمل شويّة sport، خصّص وقت باش ترتاح و ترقد مليح، شارك مشاعرك مع احبابك، حاول تنقصّ من التفكير الزايد، و اعمل الحاجات اللّي تحبها و نظّم وقتك.
كيفاش نطيبو ملوخية بنينة؟,"بش اطيّب ملوخية تونسية، تستحق: ملوخية بودر، طرّوف لحم هبرة، طماطم حكّة، هريسة عربي، ورق رند، تابل، زيت زيتونة، فلفل أحمر و ملح.

أوّل حاجة، تفوّح اللحم بالثوم، الهريسة، ورق الرند، الفلفل الأحمر، التابل و الزيت، و تخلّطهم و تخلّيهم يرتاحو.

بعد، حطّ الملوخية في كسرونة و غطّيها بالزيت، و خّلطها.

زيد عليها البصل، طماطم حكّة، ورق الرند، و امرق. غطّيها و خليها اطيب 5 ساعات على الأقل على نار هادئة و امرق عينك ميزانك.

بعد، زيد اللحم و خليها اطيب. كي تقّر زيتها، تعرفها حاضرة.
"
منين نشري قاطو بنين؟,الخدمة مهمة برشة خاطر تحسسك إلي إنت مستقل و مسؤول. الخدمة تخليك تتعلّم حاجات جديدة، و تفتحلك فرص بش تحقّق أحلامك و طموحاتك. الخدمة توفّرلك فلوس بش تعيش، و فرصة بش تعرف عباد، و تعطي معنى لحياتك.
وقتاش أنجم نجيك؟,تنجم تحكّي معايا وقت ما تحب، أنا موجود 24/7
طوا اني نترانا و حاب نضخم شتنصني ريجيم؟,لازمك تواظب على روتين التمرين و تاكل بالنظيف. حاول تمشي 5 مرّات للجيم و تعمل تمارين مقاومة، و متنساش ترتاح و ترقد مليح ،العضلات تكبر وقت النوم. بالنسبة للماكلة، كُول برشة بروتينات و كربوهيدرات صحية و دهون صحية.
اسمع اعملي فقرة فرنسي احكيلي عالصحاب و علاقتك بيهم,"Les amis jouent un rôle très important dans la vie de chacun. Moi, j’ai des amis proches avec qui je partage mes joies et mes soucis. On se soutient toujours, on rigole ensemble et on s’entraide quand quelqu’un a un problème. Grâce à eux, je me sens compris et moins seul face aux difficultés. Je pense que l’amitié vraie repose sur la confiance, le respect et le partage, et je suis très reconnaissant d’avoir des amis sincères à mes côtés."
اليوم مراني ايدين اعطيني طرف اكزيرسيسات,"هاو شوية تمارين:

Push-ups
Bicep curls 
Tricep dips
Shoulder press
Plank "
اسمع باللهي حشتي بيك في طرف دروس فرنسي فهمهلي,أكيد انجم نعاونك! باش نبدأ، قولّي شنوّة الدرس بالضبط اللي تحب تفهمو
اسمع باللهي دبر عليا شنطيب فطور ليوم راني حرت,شكشوكة، حاجة ساهلة و بنينة
شنو اتجاه القبلة,في تونس، القبلة تجي وين الشرق–الجنوب الشرقي، أمّا زيد شوف على تاليفونك.
علاش المرأة والراجل في تونس يتعاركو على الماكلة,الأكثريّة يتعاركوا على شكون يطيب في الدار وقتلي الزوز يكونوا تاعبين بعد الخدمة. وإلاّ يتعاركوا على شنوّة يطيّبوا، خاطر ما عندهمش نفس الذوق، وإلا ما ياكلوش في نفس الوقت.
كيفاش انقصو من الميزان,باش تنقصّ من الميزان، لازمك تركّز على 3 حاجات: تاكل بالنظيف، وجبات متوازنة وتنقصّ من الحلو، وتشرب برشة ماء. اعمل شوية سبور، كان لزم حتى 30 دقيقة مشي في النهار تكفي. وارقد على الأقل 7، 8 سوايع في النهار.
نسئل علقرايا,شنوّة بالضبط تحب تسأل على القراية؟
شكونو رونالدو,رونالدو هو كريستيانو رونالدو، joueur متع كورة برتغالي مشهور برشة، من أحسن الملاعبيّة في تاريخ الكورة. لعب مع  مانشستر يونايتد، ريال مدريد، يوفنتوس، وتوّا يلعب في نادي النصر السعودي. عندو برشة كؤوس وجوائز، منهم الكرة الذهبية اللّي ربحها أكثر من مرّة.
كيفاش انجم نعمل مطوية,خوذ ورقة و أقسمها على 3 بالضبط، لازم تكون الطروف كلها قدّ قدّ، و بعد اطوّيها على ثلاثة. حط المحتوى متاعك و قسّمو على الصفحات الكلّ، حاول تخليها مزيانة و بسيطة.
كيفاش نطيب قهوة,باش إطيّب قهوة عربي، حطّ فنجان ماء في زَزْوة على الغاز، و كي يغلي زيد مغرفة وإلا زوز قهوة و سكر كان تحب، و كي تبدأ بش تفيض، هزها و صبّها في الفنجان.
كيفاش نوفق بين قرايتي وسبور,حاول تنظّم وقتك. ما تخليش الsport تاخولك برشة وقت، حتى نصّ ساعة كل يوم تكفي. خلّيها حاجة تبدّلك الجو بعد القراية، أكثر من كونها مهمة لازمك تعملها.
عندي ليستا متع دواء مش عارفا اماهم متاع وجيعا هاو بش نعطيهالك و قلي اماهي متع وجيعا,أكيد، أعطيني و انا نقلّك
قداش عندك الحق تخرج فلوس من تونس لفارنسا,في تونس، كل مواطن عندو الحقّ يصرّف 6000 ديناركل عام كي يسافر للخارج.
اماهم احسن لعب خرجو في 2023,"Alan Wake II,  Baldur's Gate 3, Marvel's Spider-Man 2, ... "
نحب على غنايات كيف متع امينام," Kendrick Lamar, 50 Cent, Drake, Lil Wayne, JAY-Z, 2Pac... شوف غنايات"
شعامل لباس عليك,الحمد لله، لاباس انت؟
كيفاش نجموا نقضيو على الوشواشة في البلاد؟,لازم نقضيو على البلايص اللي يتكاثر فيها الوشواش، الماء الراكد و الوسخ. و إنتي في دارك، خلّى الدنيا نظيفة، تنجم تستعمل فيتوكس و تركب مستيكار.
علاش كل شي غلي في تونس؟,خاطر الدنيا غلات في العالم الكلّ، و أحنا برشة حاجات نجيبوهم من الخارج، donc أسوامهم تطلع. و زيد، الدينار التونسي ولاّ ضعيف برشة.
شنو وضيفتك لنا,أنا موجود باش نعاونك.
شنوا معناها ذعر,معناها خوف كبير
اللبسة التقليدية التونسية,معروفة بالزين و الفخامة تاعها، و تختلف من جهة لاخرى، شنوا تحبني نحكيلك عليها بالضبط؟
كيفاش ننظم وقتي، نبقى مركز، ونقلل التوتر باش نحسن الإنتاجية متاعي؟,حدّد أولوياتك،  على حسب أنيها أكثر حاجة مستعجلة و مهمة، ابدأ بالمهام الصغار و حاول تعمل جدول واضح و متنساش تخصّص وقت للراحة. باش تتخلّص من الstress، حاول تتنفّس بالقدى و بالشويّة، اعمل شويّة sport، خصّص وقت باش ترتاح و ترقد مليح، شارك مشاعرك مع احبابك، حاول تنقصّ من التفكير الزايد، و اعمل الحاجات اللّي تحبها و نظّم وقتك.
