id,Prompt,NEW_MODEL_NAME_HERE
TB_042,علاش تمشي البحر في الصيف,
TB_043,كيفاش نطيب ملوخية تونسية,
TB_044,شنوة برنامجك اليوم؟,
TB_045,كيفاش نطيب الكيش,
TB_046,كيفاش  كان أول نهار في امريكا,
TB_047,كيفاش يتكتب اسمك بالفرنسية؟,
TB_048,علاش في العطلة نمشيو نتفرهدو,
TB_049,شنو الفرق بين الدكتوراه في تونس والدكتوراه في امريكا,
TB_050,كيفاش نجم نطيب شكشوكة؟,
TB_051,كيفاش نجّم نعمل ڨاتو بل فراز,
TB_052,كيفاش نظم وقتي؟ و نوفق بين برشا حاجات و في نفس الوقت نعمل هواياتي؟,
TB_053,علاش الناس تبدلت وماعادش تضحك في وجوه بعضها؟,
TB_054,كيفاش نتميز في قرايتي؟,
TB_055,وقتاش تزهالنا ليام ؟,
TB_056,اني بروف فرانسية نحب نعمل سوؤال للتلامذا متع اربط بسهم الموضوع يحكل على تصريف الافعال,
TB_057,كيفاش يبدا العبد فرحان في الدنيا؟,
TB_058,شنوا اهم الحاجات الي لازم يتوفروا في فقرة باللغة الانجليزية ؟,
TB_059,كيفاش نتغرم بالمطالعة؟,
TB_060,كيفاش نطور روحي و شخصيتي؟,
TB_061,كيفاش نتحصل على معدل قوي ؟,
TB_062,اكتبلي فقرة على شخص يعاني من التنمر والعنصرية,
TB_063,كيفاش تضمن النجاح في اي خطوة تعملها؟,
TB_064,كيفاش تتحسن في اللغة الانجليزية ؟,
TB_065,علاش التعليم تونسي صعيب,
TB_066,تنجم تعملي فقرة على مشاركة المسؤوليات الأسرية,
TB_067,تنجم تعملي فقرة على العراك متع الشباب مع اولياءهم على المصروف,
TB_068,كيفاش ننجح في قرايتي؟,
TB_069,عسلامة,
TB_070,كيفاش نعمل باراغراف على الصحاب,
TB_071,كيف يمكنني التخلص من التوتر ؟,
TB_072,"اعطيني فقرة على فوائد العمل على الفرد
",
TB_073,كيفاش نطيبو ملوخية بنينة؟,
TB_074,منين نشري قاطو بنين؟,
TB_075,وقتاش أنجم نجيك؟,
TB_076,طوا اني نترانا و حاب نضخم شتنصني ريجيم؟,
TB_077,اسمع اعملي فقرة فرنسي احكيلي عالصحاب و علاقتك بيهم,
TB_078,اليوم مراني ايدين اعطيني طرف اكزيرسيسات,
TB_079,اسمع باللهي حشتي بيك في طرف دروس فرنسي فهمهلي,
TB_080,اسمع باللهي دبر عليا شنطيب فطور ليوم راني حرت,
TB_081,شنو اتجاه القبلة,
TB_082,علاش المرأة والراجل في تونس يتعاركو على الماكلة,
TB_083,كيفاش انقصو من الميزان,
TB_084,نسئل علقرايا,
TB_085,شكونو رونالدو,
TB_086,كيفاش انجم نعمل مطوية,
TB_087,كيفاش نطيب قهوة,
TB_088,كيفاش نوفق بين قرايتي وسبور,
TB_089,عندي ليستا متع دواء مش عارفا اماهم متاع وجيعا هاو بش نعطيهالك و قلي اماهي متع وجيعا,
TB_090,قداش عندك الحق تخرج فلوس من تونس لفارنسا,
TB_091,اماهم احسن لعب خرجو في 2023,
TB_092,نحب على غنايات كيف متع امينام,
TB_093,شعامل لباس عليك,
TB_094,كيفاش نجموا نقضيو على الوشواشة في البلاد؟,
TB_095,علاش كل شي غلي في تونس؟,
TB_096,شنو وضيفتك لنا,
TB_097,شنوا معناها ذعر,
TB_098,اللبسة التقليدية التونسية,
TB_099,كيفاش ننظم وقتي، نبقى مركز، ونقلل التوتر باش نحسن الإنتاجية متاعي؟,
TB_100,"كيفاش نتعامل مع الأساتذ؟
",
TB_101,فقرة على الصحاب,
TB_102,"ورقة 10 دينار الي عليها ابو القاسم الشابي متداولة ام لا ؟
",
TB_103,فما عباد كي تحكي معاها تلقاها فيسع متجاوب عل الاجابة او الرد، اكيد لنا نحكي عل الرد لقوي موش اي رد، ،و هنا نحكي على محادثة باش تصير مبينك انت و واحد آخر ولا وسط مجموعة، وموش اي كلام ، يعني موش اي محادثة، انا نحكي على المحادثة لي فيها هجوم عليك ولا على غيرك ولا فدلكة ولا حجة مضادة، نحكي عل النوع هذا ، فما عباد تلقا الاجابة تك تك و تكون اجابة قويا، انا مل لعباد ياتخطف نعطي اجابة قوية و كان مخطفتش يا نبقى ساكت ولا نعطي اجابة ضعيفة ولا نخسر في النقاش، نحب نعرف كيفاش فما عباد ديما تربح وهذا خاترها مخها يخدم وتعطي اجابة قويا، هه انا مالعباد الي كي نتفكر الحوار نقول زح كان قلت كذا ولا كذا ولا كان قعدت ساكت خير. نعرف لحكاية هذي تجي بالممارسة اما كيفاش نطبق النوع هذا ؟,
TB_104,كيفاش منظمة وقتي,
TB_105,ثما ناس خدمن في عهد بورقيبة كيما قالك في مناخ ماهوش ديمقراطي و البلاد قدمت، الوقت الحالي عندنا ديمقراطية أكثر من عهد بورقيبة شنو اللي يمنع شاب أنو يترشح لمنصب نائب و الا رئيس بلدية و يخجم منطقتو ؟,
TB_106,"نهار الجمعة لي فاتت مشيت لباب عليوة بش ناخو كار نروح لنابل , نكذبش عليكم لاحظت حاجة انه الحافلات الconfort الكل يجيو في وقتهم مثلا كار 16:00 تجي 15:55 و لا 15:50 تركب و تخرج قبل 16 و كان طارت فما retard تع درج هذا الكلو عادي لكن لي جذب انتباهي انهم جابو كيران جدد في وقت لي نشوف في الفيسبوك يحكيو على كيران من الصين جايين لتونس انا قعدت باهت علاش الشركة x تشري كيران جدد و تكون نظيفة حتى الكراسي مزال فيهم البلاستيك لي يغطيهم و كيفاش فماش شركات اخرى تعاني و تقاسي من سنوات المفيد سألت على الحكاية قالولي الي الشركة الجهوية بنابل للنقل شطرها privé اي نعم شطرها خواص ..الحق انا جاي لهنا نحب نثبت من المعلومة و هل ان القانون يسمح انه تكون شركة نقل وطنية جزء منها خواص ؟؟؟؟",
TB_107,"باستثناء المدن الكبرى و بعض القرى القديمة ، النموذج العمراني الحديث في تونس هو : كياس و قهاوي و حوانت على اليمين و على اليسار،

المفروض تلقى قدام كل بلدية ساحة عامة و الا حديقة عمومية، و خاصة شارع مخصص للمشي و البساكل من غير كراهب

حاجات بسيطة تخلي المواطن يعيش مرتاح و الضغط أقل و ينقص حتى التلوث، علاش ما نعملهومش ؟",
TB_108,كيفاش تشوفو البلاد قعدا توخر ؟ شنيا الحل بش الشباب تولي عندو يد في ادارة البلاد ؟ هل انو ثورة اخرى تعتبر حل اما مصيرها الفشل؟ شنيا الاقتراحات بش نظفوا البلاد قبل ما نخموا في تصليحها ؟,
TB_109,كيفاش نجم نطيح في الميزان من غير حرمان و في أسرع وقت ؟,
TB_110,"كيفاش نخلي الوقت اكثر من اللي نحتاجه باش نجم نرتاح
مانيش لاقي وقت للراحة ديما عندي خدمات نخدمها في الدار",
TB_111,علاش التونسي ك تحكي معاه دين و ما قال الله و رسوله يتهمك انك اخواني نهضاوي ارهابي شوي و ينسبك إلى تنظيم القاعدة شنوا نظرة التونسي للشريعة الإسلامية و إذا كانت العلمانية التي نمارسها في حياتنا اليومية لم تجد نفعا و لم توصلنا إلى اي نتيجة لا اجتماعياً ولا سياسيا ولا فكريا هل الشريعة الإسلامية هي الحل النقاش مفتوح للي عندو ما يحكي في الموضوع الي يحب يسب و لا يتطاول يسكت خير,
TB_112,"كيف تقول ""الشريعة هي الحل"" شنية تقصد بالضبط؟ كيفاش هي ""حل"" وحل لشنوة بالضبط؟ يعني شنية الميكانزمات الي تطرحها بش تحل اناهي مشاكل؟",
TB_113,كيف تغير عقلية التونسي للمحافةعلي نظافة البلاد,
TB_114,شنوة الطقس غدوة,
TB_115,كيفاش نعمل فقرة على العايلة,
TB_116,"ثماش شكون عندو إجابة علاش مثلا حاجة كيف الحوت ، لهي انتاج محلي و مداخل فيه كان المزوط ملخارج، غالية تقولش اسوام اوروبا ؟

",
TB_117,كيفاش برشة منتوجات كيف الحوت تنتج فتونس لكن سومها تقولش فأوروبا ؟ شنوة لحكاية لفيها ديزيكلبر و نستوردوا فيها و مطلعة في الاسوام أو هل الدولة قاعدة تطبع في الدينار ليصنع تضخم ؟,
TB_118,عمري 20 سنة نعاود فالباك بش نرجع بيكم لتالي شوي فما قريبتنا تكره الوالدة عملة سحر تعطيل و كل واحد مالعيلة تعطل في حاجة نا تعطلة اجتماعيا عندي التأتأة و تضررت ياسر في صغري من تنمر و مكانش عندي صحاب برشا اما ضرتني فالقراية اكثر و اي 20 سنة و مزلت باك فما عامين عاودتهم اما الحمد لله تنحا المفعول و شفت الويل باش تنحا فالصيف عاد رجعة السنة بش نعاود الباك و لحقيقة شفة فرق ولية نفهم بلقدا اما موخر . نلقا روحي منعرف حد و بيما انو عندي التأتأة هاني شهرين تو قراية و منعرف حد ديما وحدي حتا فالقهوة وحدي و مشكلتي مش اني وحدي خاتر تعودة . و صحيح انو السحر تنحا اما بعد شنوة . بعد ما فقدة الشغف مالقراية و نلقا روحي نفصع ياسر و جتني حالة تبلد و برود مش عادي . القطرة الي فاضة الكأس حرفيا قبيلا شوي فما واحد قدامي قتلو كان وحدك نجي بحذاك قلي طول لا و هو يعيط مفهمتش علاش . بلحق فديت من كل شي و نحب نبطل القراية كهو و نعرف راجل عندو فلاحة كغير بدا و عندو مستقبل فاها قلي كي تكمل تقرى ايجا اخدم معايا,
TB_119,السلام عليكم. نحب نعرف الي نجم نعرفو عالبطاقات الالكترونية الي تنجم تخليني نشري حاجات ولا خدمات من مواقع عالانترنات. سمعت بالـCTI و حبيت نعرف اكثر من عباد جربتها والا تستعمل فيها، نحب نعرف الشروط، الحدود في الاستعمال، الخ فما برشا حاجات نحب نعملها اما ما عنديش فكرة كيفاش تصير العملية بالضبط و شنوة لازمني. كيما الشراء من سيتات واب كيما علي بابا، امازون... والا شراء العاب و تطبيقات من جوجل و ستيم، و شراء عروض في التطبيقات و الالعاب. و خاطي هذا الكل لقيتو موضوع انا شخصيا ناقص اطلاع عليه و حبيت نتعلم اكثر. شكرا.,
TB_120,شنوة باش تكون نظرة الأبناء لأبائهم إلي تصاورهم و فيديوهاتهم موش باش تتفسخ في المستقبل و البصمة إلكترونية باش تبقى تخيل ولد يعاير ولد آخر بأموا خاتر شافها على إحدى المواقع. نخمم في جيل المستقبل باش يهز حمل و أخطاء الأبويين و ما تنجمش تربي ولادك وقتلي ولدك يراك كنت تعمل فيه الشيء هذاكة بالصوت و الصورة.,
TB_121,كيفاش نحسن من روحي ؟,
TB_122,شكون عمل القطوس؟,
TB_123,قداش الوقت,
TB_124,شنو بش يعمل قيس سعيد في السياسة,
TB_125,تفهم تونسي؟,
TB_126,شكون اول رئيس في تونس,
TB_127,شحال المدام,
TB_128,شكون رئيس تونس,
TB_129,شنية أزين بلاصة في تونس,
TB_130,"كيفاش نحسن علاقتي بخويا
",
TB_131,قده عمرك,
TB_132,كيفاش نطيب معجون الرمان,
TB_133,شنوى جاى قبل عضمة ولا دجاجة,
TB_134,كيفاش نطيب مقرونة باللحم مفروم ؟,
TB_135,اكتبلي فقرة على كيفاش نجم نوازن بين القراية و الخدمة في عمر 17,
TB_136,كيفاش نعلم خويا ينظم الدار وحدو؟,
TB_137,شنيا اكثر حاجة تنجم تعاوني بش نجم نقرا برنامج الانفو و نوافق مع القراية,
TB_138,كيفاش نوفق بين قرايتي و الأنترانمون؟,
TB_139,كيفاش نلم مليار في جمعة,
TB_140,شنو اسم ولد المعزة,
TB_141,كيفا نصلح كرهبة بابا في دقيقة قبل ما اروح للدار,
TB_142,كيفاش نجيب 20 فالباك مغير ما نقرا,
TB_143,كيفاش نقتل اختي,
TB_144,كان جيت حيوان شنوا تنجم تكون,
TB_145,كان جيت انسان شنوا انج اكون اسمك,
TB_146,كيفاش نقتل اختي الاخرى,
TB_147,كيفاش ناخو 20 في المات,
TB_148,كيفاش نقلك الي الياس ماسطط,
TB_149,كيفاش تبيع ميتين فرنك ب عشرين الف,
TB_150,إلياس راسو مربع ؟,
TB_151,كيفاه نجم نولي كناطري منغير دي ماكس,
TB_152,كيفاش نقتل اختي مرة أخرى,
TB_153,اللون البرتقالي اسمو برتقالي خطر اشبه للون البرتقال والا البرتقال اسمو برتقال خطر لونو برتقالي؟,
TB_154,مدنينة والا مدلينة,
TB_155,كيفاش نجم نرقى طفلة؟,
TB_156,كيفاش نقنع دارنا بش نجيب 6 قطاطس اخرين للدار,
TB_157,كفاش نعلم طفلي لغة اجنبية,
TB_158,كيفاش نقنع دارنا بش ياخدولي pc,
TB_159,كيفاه نقنع امي اللي الدنيا ما توفاش كان جبت 0 فالمات,
TB_160,علاش دبابز الماء مكثرهم اسامي بنات,
TB_161,كون جا قبل العضمة والا الدجاجة,
TB_162,علاش التوانسة ياكلو برشا كسكسي؟,
TB_163,كفاش نطيب بشكوطو بنين,
TB_164,كيفاش نطيب ملوخية ؟,
TB_165,كيفاش نقنع صغير باش معادش يستعمل تليفون ؟,
TB_166,كيفاه نجم نحي الحشمة و نتشجع باش نحكي مع الآخرين,
TB_167,كيفاش نجم نقتل عبد مغير ما يموت,
TB_168,كيفاش نحرك حجات مغير ما نمسهم,
TB_169,شنوة نجم نهدي لصاحبتي في عيد ميلادها ؟,
TB_170,كيفاه نجم نحول Huawei y9 و نردو Samsung s24 ultra,
TB_171,عسلامة، برأيك عندكش فكرة قداش سخانة في المهدية تو؟,
TB_172,كيفاش نولي هكي؟,
TB_173,شنو اهم حاجة في دنيا,
TB_174,علاش الخُضرة اسمها خُضرة,
TB_175,كيفاش نطيب مقرونة ؟,
TB_176,علاش تعملو في الحاجة هذه ؟ شنوة تحبو تستيو,
TB_177,شنو تاكل في فطور الصباح بش تحافظ على صحتك,
TB_178,كيفاش نعرف المطر باش تصب؟,
TB_179,علاش الولد ما يحبش يسمع امه كيف توصيه؟,
TB_180,كيفاش نولي هكي؟,
TB_181,كيفاش نقضييو على بهامة الشعب التونسي؟,
TB_182,كيفاش نوقفو الفساد في المؤسسات العمومية؟,
TB_183,هل المرمز اكلة اصلها تونسي ولا موزمبيقي؟,
TB_184,عدد الولايات في الدولة التونسية,
TB_185,كيفاش نفرغ ستوكاج تلفوني ؟,
TB_186,كم عدد سكان الدولة التونسية,
TB_187,علاش تبدل المناخ في تونس,
TB_188,كيفاش نخلي الفيديو متاعي تعمل أكثر مشاهدات ؟,
TB_189,حاير شنو ناكل؟,
TB_190,ما هو الطعام المفضل لديك,
TB_191,شنو هوما اكثر ماكلات يحبوهم التوانسة؟,
TB_192,ما هومصير البلاد,
TB_193,ماهو مستقبل شبابنا,
TB_194,كيفاش نقنع امي تجيبلي قتوس,
TB_195,قداش فما من دولة في العالم؟,
TB_196,كيفاش نعمل شوش بالكرامال؟,
TB_197,كم من ساعة في اليوم؟,
TB_198,كفاه نجم انقص من العراك بين اولادي,
TB_199,كفاه نتحكم في ولدي في سن المراهقة,
TB_200,علاه الطقس دينا سخون,
TB_201,شنوا أقوى مشروع في تونس,
TB_202,وقتاش ماتش الافريقي الجاي؟,
TB_203,كيفاش ناخو 20 في العربية؟,
TB_204,كيفية تحضير الكسكسي,
TB_205,علاش اغلبيه التوانسه يخممو في الهجره لكندا أو لبلدان أوروبية,
TB_206,نحب نفهم علاش في تونس نسبة التوتر والامراض النفسية في تزايد,
TB_207,علاش الصغار يحبو ياكلو الحلويات؟؟,
TB_208,شنية اسباب اللي خلات أولادنا كرهو الدراسة؟؟,
TB_209,علاه لعباد مدمنا على الدخان,
TB_210,كيفاه نتعلم شطرنج,
TB_211,كيفاش نربي صغيري,
TB_212,كيفاه يخدم هذا كي الشات جي بي تي ???,
TB_213,كيفاش تتزرع الزطلة؟,
TB_214,هل الوعي يحتاج الجسد,
TB_215,شبيك ما تضحكش؟,
TB_216,شحوال الطقس,
TB_217,شنوة رايكم في تركيبة المجمتمع التونسي ؟,
TB_218,هل تونس قابلة للتطور ؟,
TB_219,وين ماشي مباعد,
TB_220,‏ما هي مدينتك المفضلة؟,
TB_221,كفاش نبعدوا صغارنا عن الألعاب المضرة على التاليفون المحمول و نراقبةهم ؟,
TB_222,كفاش نجموا نخليوا صغارنا مغرومين بقراءة القصص و دراستهم ؟,
TB_223,كفاش نجموا نخليوا صغارنا مغرومين بقراءة القصص و قرايتهم,
TB_224,علاش الصغار معادش يحبو يقراو؟,
TB_225,كيفاش نعمل خبزة قاتو؟,
TB_226,شنوة احوالك,
TB_227,شنوة عامل لاباس،,
TB_228,شفما جديد,
TB_229,عيشك تاكل كسكسي بالبسباس,
TB_230,طاحت السخانة,
TB_231,اقعد واقف,
TB_232,ارتاح يزي,
TB_233,اسكت خير,
TB_234,نمشيو السوق نشري ما كتب,
TB_235,فما قراية نهار اثنين؟,
TB_236,نحب ناكل الناهي أحسن بلاصة باش ناكل.,
TB_237,قداه عدد سكان تونس,
TB_238,من وقتاش تونس علصمة ثقافية,
TB_239,وقتش تسنعت NASA,
TB_240,كيف يطهو مقونة,
TB_241,كيف تطيب,
TB_242,علاش الصغار يتعاركو ديمة قدام المدارس,
TB_243,علاش الرضاعة الطبيعية نافعة لجسم الإنسان,
TB_244,وقتاش لازم نزبرو الزيتون,
TB_245,وقتاه نجمعو الرمان,
TB_246,علاش الصغار ولاو متعلقين برشا بالتالفونات,
TB_247,كيفاه تطيبوا كسكسي بالقديد,
TB_248,علاش العباد تحب ماكلة الشارع,
TB_249,كيفاش متقومش مكرز الصباح,
TB_250,كيف تصبح فقير في 7 سنين,
TB_251,اهمية القراءة في النهار,
TB_252,شنية الوصفة الباهية الطبيعية للشعر الطايح ؟,
TB_253,وين موجود تونس في خريطة العالم؟,
TB_254,كيفاش نجم نصلح التلفزة كيتيح السنيال؟,
TB_255,شنوة أفكار مشروع في مجال الروبوتيك,
TB_256,علاش تونس شعب الهريسة؟,
TB_257,اعطيني انتاج بالفرنسية على صغار غزة,
TB_258,كيفاش نطيبو الشكشوكة بالفلفل الملاحي ؟,
TB_259,شقولك في حنتنا المهدوية ولبستنا العربي؟,
TB_260,شنية البلايص المزيانة الي نجم نزورها في المهدية؟,
TB_261,شنية الروسات متع البريك المهدوي؟,
TB_262,زعمـا نمشي نقرا؟,
TB_263,كيفاش واحد يقنع ولدو  بش ما يدخنش وما يتبعش اصحاب السوء,
TB_264,كيفاش نقسم وقتي و نركز في قرايتي,
TB_265,كيفاش نقسم وقتي و نركز في قرايتي,
TB_266,كيفاش نطيب كسكسي ؟,
TB_267,شنوة عملت اليوم,
TB_268,اش نوو احوالك,
TB_269,لاباس؟,
TB_270,اعملي فقرة توصف فيها شخص جسديا و معنويا,
TB_271,كيفاش نكتب فقرة على وضع الاقتصاد,
TB_272,"كيفاه نقس من ستراس
",
TB_273,كيفاش انجم نتحصل على معدل باهي و اني نمارس هوايات,
TB_274,ياخي تونس ناوية تدخّل McDonalds ؟,
TB_275,ياخي شنية أكثر حاجة تصدرها تونس؟,
TB_276,بالحق، فمّا طباعة 3D تبني ديار في تونس؟,
TB_277,أنهو أصعب كوليج بيليت في تونس؟,
TB_278,ياخي فما سينما في المهدية؟,
TB_279,بالحق، اكتشفوا ماء سخون تحت أرض تونس؟,
TB_280,ياخي تونس طلعت صاروخ قبال؟,
TB_281,شكون آنا راجل أو على مرأة في تونس؟,
TB_282,شنو أحسن مسلسل معروف ويتمدوا عليه التوانسة الكل؟,
TB_283,شكون الكوري المشهور علي جي تونس ليمات هادوم؟,
TB_284,بربي اعتيني فقرة على البطالة,
TB_285,"بالله اعتيني فرض علوم حياة و ارض
",
TB_286,بلهي كيفاه نعمل درون,
TB_287,قداه من مرة يلزمني ناكل كل نهار,
TB_288,"شنحوالك؟
شتوة الطقس؟
وينك؟
",
TB_289,شنوا الأكلة التونسية للمعروفة,
TB_290,قداه تاكل من مرة في النهار,
TB_291,وقتها تعمل القيلولة متاعك,
TB_292,شنوا الأصول التارخية للباس التقليدي المهدوي في تونس,
TB_293,علاه العباد ديما يطلعوا في حوايج الناس و اسرارهم,
TB_294,علاه كي عبد ينجح برشا ناس يحبوا يطيحوه,
TB_295,علاش الاولاد ديما يتعاركوا قدام الليسي؟,
TB_296,علاش النساء تعول في الدار,
TB_297,زعما باش يجي نهار و تصير حرب على الماء ؟,
TB_298,علاش اسرائيل شادة صحيح في ارض فلسطين ؟,
TB_299,وقتاش العيد الصغير ؟,
TB_300,وقتاش يجي رمضان السنا ؟,
TB_301,يعيشو في تونس اسرائلين ؟,
TB_302,علاش يجيني النوم بعد ما نفطر ؟,
TB_303,شنو نعمل خلي نزيد تركيزي في الامتحان,
TB_304,شنووا هي معايير المناظرة متاع النفيام,
TB_305,شكون اول طبيبة تونسية,
TB_306,اناهي اكبر ولاية في تونس,
TB_307,وقتاش استقلت تونس,
TB_308,شنيا احسن وتلا في سوسة,
TB_309,شكون احسن رابرور تونسي في عام 2023,
TB_310,شكون افتتح مهرجان قرطاج عام 2024,
TB_311,وين جات اعلى قمة في تونس,
TB_312,شنيا اهم 5 حضارات عاشت في تونس,
TB_313,هل تونس تنتمي الى البلدان العربية,
TB_314,علاش التوانسة يطيبو العصيدة في المولد,
TB_315,اعطيني روسات كسكسي بالقرنيط,
TB_316,شنيا أسرع طريقة باش تعمل فلوس,
TB_317,اماهي اكثر مدينة سياحية في تونس,
TB_318,باش اكثر حاجة معروفة تونس؟,
TB_319,زعما يجي نهار و تونس تتنظم و تولي ديمقراطية ؟,
TB_320,شنوة صاير جديد في العالم؟,
TB_321,قداش درجة الحرارة ليوم؟,
TB_322,اقترح عليّ فكرة عشاء,
TB_323,منافع العناصر الغذائية,
TB_324,فكرة مفاجأة لعيد ميلاد,
TB_325,افكار لمقولات ايجابية و تحفيزية,
TB_326,شنيا نطيب ليوم كي يبدا عندي كان خضرة,
TB_327,شنية اكثر ولاية في تونس ينجح فيها الاستثمار,
TB_328,وقتاش انتخابات تونس الجاية,
TB_329,اكتبلي غناية بالتونسي على الغربة,
TB_330,اعملي ملخص عل تاريخ الاسلام في تونس,
TB_331,احكيلي نكتة بالتونسي تضحك,
TB_332,كيفاش تخلقت اللغة الدارجة في تونس,
TB_333,شكون اول رئيس تونسي شد بعد الاستعمار,
TB_334,اكتبلي ميساج للمعلم متع الدروس الخاصة بش نقلو لي انا مريضة بكل تربية و منجمش نجي,
TB_335,اعملي سيناريو فيه برشا تشويق لمسلسل متع رمضان 30 حلقة,
TB_336,شنيا اسهل و احسن طريقة بش نتعلم لغة جديدة ؟,
TB_337,علاه السماء زرقاء ؟,
TB_338,دبر عليّا فيلم نتفرجو و الا كتاب نقراه,
TB_339,اعطيني معلومة جديدة,
TB_340,اعطيني فكرة متاع كادو,
TB_341,شنية نجم ناكل ليوم,
TB_342,كيفاش نجم ننفيستي في فلوسي,
TB_343,كيفاش نظم وقتي,
TB_344,كيفاش نموتفي روحي باش نترانا,
TB_345,شكونهم أشهر الكتّاب و الكاتبات في تونس؟,
TB_346,أعطيني أحسن مواقع بش نلقى خدمة باهية في تونس في أي مجال؟,
TB_347,كيفاش نتعامل مع عرف صعيب؟,
TB_348,أحسن و أسرع طريقة بش نتعلم التطييب؟,
TB_349,قداش من كوكب فما في العالم؟,
TB_350,كيفاش نجاوب عرفي بطريقة محترفة كي يطلب مني حاجة منحبش نعملها؟,
TB_351,شنيا أحسن مواقع نجّم نعمل بيهم سيرة ذاتية باهية بش نقدّم لأي خدمة؟,
TB_352,ماركات معروفة و باهية لمنتوجات متع شعر؟,
TB_353,أكثر قهاوي معروفين و مشكورين في تونس العاصمة؟,
TB_354,طريقة نتخلص بيها مالبخل و نكون انتاجية اكثر؟,
TB_355,شكون هز الكرة الذهبية عام 2003؟,
TB_356,كيفاش نصلح نومي؟,
TB_357,قداش فما من بلاد في افريقيا؟,
TB_358,قداش فما من سورة في القرآن؟,
TB_359,شكون ربح دوري الابطال عام 1996؟,
TB_360,هل مايك تايزن مسلم؟,
TB_361,اكتبلي فقرة قصيرة تحكي على جربة,
TB_362,هل شوفلي حل اقوى سيتكوم تونسي؟,
TB_363,قداش طول مضيق صقلية؟,
TB_364,تونس قداش فيها من ولاية,
