Instruction,Topic
كيفاش نتحصل على معدل قوي ؟,Education & Studying
اكتبلي فقرة على شخص يعاني من التنمر والعنصرية,Social & Romantic Relationships
كيفاش تضمن النجاح في اي خطوة تعملها؟,Personal Development & Life Advice
كيفاش تتحسن في اللغة الانجليزية ؟,"Education & Studying, Languages & Translation"
علاش التعليم تونسي صعيب,Education & Studying
تنجم تعملي فقرة على مشاركة المسؤوليات الأسرية,Social & Romantic Relationships
تنجم تعملي فقرة على العراك متع الشباب مع اولياءهم على المصروف,Social & Romantic Relationships
كيفاش ننجح في قرايتي؟,Education & Studying
عسلامة,Greetings & Small Talk
كيفاش نعمل باراغراف على الصحاب,Social & Romantic Relationships
كيف يمكنني التخلص من التوتر ؟,Personal Development & Life Advice
"اعطيني فقرة على فوائد العمل على الفرد
",Personal Development & Life Advice
كيفاش نطيبو ملوخية بنينة؟,Food & Cooking
منين نشري قاطو بنين؟,Food & Cooking
وقتاش أنجم نجيك؟,Greetings & Small Talk
طوا اني نترانا و حاب نضخم شتنصني ريجيم؟,Health & Body
اسمع اعملي فقرة فرنسي احكيلي عالصحاب و علاقتك بيهم,"Languages & Translation, Social & Romantic Relationships"
اليوم مراني ايدين اعطيني طرف اكزيرسيسات,Health & Body
اسمع باللهي حشتي بيك في طرف دروس فرنسي فهمهلي,"Languages & Translation, Education & Studying"
اسمع باللهي دبر عليا شنطيب فطور ليوم راني حرت,Food & Cooking
شنو اتجاه القبلة,Religion & Beliefs
علاش المرأة والراجل في تونس يتعاركو على الماكلة,Society & Current Affairs
كيفاش انقصو من الميزان,Health & Body
نسئل علقرايا,Education & Studying
شكونو رونالدو,Culture & Entertainment
كيفاش انجم نعمل مطوية,Food & Cooking
كيفاش نطيب قهوة,Food & Cooking
كيفاش نوفق بين قرايتي وسبور,Personal Development & Life Advice
عندي ليستا متع دواء مش عارفا اماهم متاع وجيعا هاو بش نعطيهالك و قلي اماهي متع وجيعا,Health & Body
قداش عندك الحق تخرج فلوس من تونس لفارنسا,Money & Finance
اماهم احسن لعب خرجو في 2023,Culture & Entertainment
نحب على غنايات كيف متع امينام,Culture & Entertainment
شعامل لباس عليك,Greetings & Small Talk
كيفاش نجموا نقضيو على الوشواشة في البلاد؟,Society & Current Affairs
علاش كل شي غلي في تونس؟,Society & Current Affairs
شنو وضيفتك لنا,Greetings & Small Talk
شنوا معناها ذعر,Other
اللبسة التقليدية التونسية,Culture & Entertainment
كيفاش ننظم وقتي، نبقى مركز، ونقلل التوتر باش نحسن الإنتاجية متاعي؟,Personal Development & Life Advice
"كيفاش نتعامل مع الأساتذ؟
",Social & Romantic Relationships
فقرة على الصحاب,Social & Romantic Relationships
"ورقة 10 دينار الي عليها ابو القاسم الشابي متداولة ام لا ؟
",Money & Finance
فما عباد كي تحكي معاها تلقاها فيسع متجاوب عل الاجابة او الرد، اكيد لنا نحكي عل الرد لقوي موش اي رد، ،و هنا نحكي على محادثة باش تصير مبينك انت و واحد آخر ولا وسط مجموعة، وموش اي كلام ، يعني موش اي محادثة، انا نحكي على المحادثة لي فيها هجوم عليك ولا على غيرك ولا فدلكة ولا حجة مضادة، نحكي عل النوع هذا ، فما عباد تلقا الاجابة تك تك و تكون اجابة قويا، انا مل لعباد ياتخطف نعطي اجابة قوية و كان مخطفتش يا نبقى ساكت ولا نعطي اجابة ضعيفة ولا نخسر في النقاش، نحب نعرف كيفاش فما عباد ديما تربح وهذا خاترها مخها يخدم وتعطي اجابة قويا، هه انا مالعباد الي كي نتفكر الحوار نقول زح كان قلت كذا ولا كذا ولا كان قعدت ساكت خير. نعرف لحكاية هذي تجي بالممارسة اما كيفاش نطبق النوع هذا ؟,Social & Romantic Relationships
كيفاش منظمة وقتي,Personal Development & Life Advice
ثما ناس خدمن في عهد بورقيبة كيما قالك في مناخ ماهوش ديمقراطي و البلاد قدمت، الوقت الحالي عندنا ديمقراطية أكثر من عهد بورقيبة شنو اللي يمنع شاب أنو يترشح لمنصب نائب و الا رئيس بلدية و يخجم منطقتو ؟,Society & Current Affairs
"نهار الجمعة لي فاتت مشيت لباب عليوة بش ناخو كار نروح لنابل , نكذبش عليكم لاحظت حاجة انه الحافلات الconfort الكل يجيو في وقتهم مثلا كار 16:00 تجي 15:55 و لا 15:50 تركب و تخرج قبل 16 و كان طارت فما retard تع درج هذا الكلو عادي لكن لي جذب انتباهي انهم جابو كيران جدد في وقت لي نشوف في الفيسبوك يحكيو على كيران من الصين جايين لتونس انا قعدت باهت علاش الشركة x تشري كيران جدد و تكون نظيفة حتى الكراسي مزال فيهم البلاستيك لي يغطيهم و كيفاش فماش شركات اخرى تعاني و تقاسي من سنوات المفيد سألت على الحكاية قالولي الي الشركة الجهوية بنابل للنقل شطرها privé اي نعم شطرها خواص ..الحق انا جاي لهنا نحب نثبت من المعلومة و هل ان القانون يسمح انه تكون شركة نقل وطنية جزء منها خواص ؟؟؟؟",Society & Current Affairs
"باستثناء المدن الكبرى و بعض القرى القديمة ، النموذج العمراني الحديث في تونس هو : كياس و قهاوي و حوانت على اليمين و على اليسار،

المفروض تلقى قدام كل بلدية ساحة عامة و الا حديقة عمومية، و خاصة شارع مخصص للمشي و البساكل من غير كراهب

حاجات بسيطة تخلي المواطن يعيش مرتاح و الضغط أقل و ينقص حتى التلوث، علاش ما نعملهومش ؟",Society & Current Affairs
كيفاش تشوفو البلاد قعدا توخر ؟ شنيا الحل بش الشباب تولي عندو يد في ادارة البلاد ؟ هل انو ثورة اخرى تعتبر حل اما مصيرها الفشل؟ شنيا الاقتراحات بش نظفوا البلاد قبل ما نخموا في تصليحها ؟,Society & Current Affairs
كيفاش نجم نطيح في الميزان من غير حرمان و في أسرع وقت ؟,Health & Body
"كيفاش نخلي الوقت اكثر من اللي نحتاجه باش نجم نرتاح
مانيش لاقي وقت للراحة ديما عندي خدمات نخدمها في الدار",Personal Development & Life Advice
علاش التونسي ك تحكي معاه دين و ما قال الله و رسوله يتهمك انك اخواني نهضاوي ارهابي شوي و ينسبك إلى تنظيم القاعدة شنوا نظرة التونسي للشريعة الإسلامية و إذا كانت العلمانية التي نمارسها في حياتنا اليومية لم تجد نفعا و لم توصلنا إلى اي نتيجة لا اجتماعياً ولا سياسيا ولا فكريا هل الشريعة الإسلامية هي الحل النقاش مفتوح للي عندو ما يحكي في الموضوع الي يحب يسب و لا يتطاول يسكت خير,"Religion & Beliefs, Society & Current Affairs"
"كيف تقول ""الشريعة هي الحل"" شنية تقصد بالضبط؟ كيفاش هي ""حل"" وحل لشنوة بالضبط؟ يعني شنية الميكانزمات الي تطرحها بش تحل اناهي مشاكل؟","Religion & Beliefs, Society & Current Affairs"
كيف تغير عقلية التونسي للمحافةعلي نظافة البلاد,Society & Current Affairs
شنوة الطقس غدوة,Other
كيفاش نعمل فقرة على العايلة,Social & Romantic Relationships
"ثماش شكون عندو إجابة علاش مثلا حاجة كيف الحوت ، لهي انتاج محلي و مداخل فيه كان المزوط ملخارج، غالية تقولش اسوام اوروبا ؟

",Society & Current Affairs
كيفاش برشة منتوجات كيف الحوت تنتج فتونس لكن سومها تقولش فأوروبا ؟ شنوة لحكاية لفيها ديزيكلبر و نستوردوا فيها و مطلعة في الاسوام أو هل الدولة قاعدة تطبع في الدينار ليصنع تضخم ؟,Society & Current Affairs
عمري 20 سنة نعاود فالباك بش نرجع بيكم لتالي شوي فما قريبتنا تكره الوالدة عملة سحر تعطيل و كل واحد مالعيلة تعطل في حاجة نا تعطلة اجتماعيا عندي التأتأة و تضررت ياسر في صغري من تنمر و مكانش عندي صحاب برشا اما ضرتني فالقراية اكثر و اي 20 سنة و مزلت باك فما عامين عاودتهم اما الحمد لله تنحا المفعول و شفت الويل باش تنحا فالصيف عاد رجعة السنة بش نعاود الباك و لحقيقة شفة فرق ولية نفهم بلقدا اما موخر . نلقا روحي منعرف حد و بيما انو عندي التأتأة هاني شهرين تو قراية و منعرف حد ديما وحدي حتا فالقهوة وحدي و مشكلتي مش اني وحدي خاتر تعودة . و صحيح انو السحر تنحا اما بعد شنوة . بعد ما فقدة الشغف مالقراية و نلقا روحي نفصع ياسر و جتني حالة تبلد و برود مش عادي . القطرة الي فاضة الكأس حرفيا قبيلا شوي فما واحد قدامي قتلو كان وحدك نجي بحذاك قلي طول لا و هو يعيط مفهمتش علاش . بلحق فديت من كل شي و نحب نبطل القراية كهو و نعرف راجل عندو فلاحة كغير بدا و عندو مستقبل فاها قلي كي تكمل تقرى ايجا اخدم معايا,"Health & Body, Education & Studying, Social & Romantic Relationships"
السلام عليكم. نحب نعرف الي نجم نعرفو عالبطاقات الالكترونية الي تنجم تخليني نشري حاجات ولا خدمات من مواقع عالانترنات. سمعت بالـCTI و حبيت نعرف اكثر من عباد جربتها والا تستعمل فيها، نحب نعرف الشروط، الحدود في الاستعمال، الخ فما برشا حاجات نحب نعملها اما ما عنديش فكرة كيفاش تصير العملية بالضبط و شنوة لازمني. كيما الشراء من سيتات واب كيما علي بابا، امازون... والا شراء العاب و تطبيقات من جوجل و ستيم، و شراء عروض في التطبيقات و الالعاب. و خاطي هذا الكل لقيتو موضوع انا شخصيا ناقص اطلاع عليه و حبيت نتعلم اكثر. شكرا.,Money & Finance
شنوة باش تكون نظرة الأبناء لأبائهم إلي تصاورهم و فيديوهاتهم موش باش تتفسخ في المستقبل و البصمة إلكترونية باش تبقى تخيل ولد يعاير ولد آخر بأموا خاتر شافها على إحدى المواقع. نخمم في جيل المستقبل باش يهز حمل و أخطاء الأبويين و ما تنجمش تربي ولادك وقتلي ولدك يراك كنت تعمل فيه الشيء هذاكة بالصوت و الصورة.,"Culture & Entertainment, Society & Current Affairs"
كيفاش نحسن من روحي ؟,Personal Development & Life Advice
شكون عمل القطوس؟,Other
قداش الوقت,Other
شنو بش يعمل قيس سعيد في السياسة,Society & Current Affairs
تفهم تونسي؟,Languages & Translation
شكون اول رئيس في تونس,Society & Current Affairs
شحال المدام,Other
شكون رئيس تونس,Society & Current Affairs
شنية أزين بلاصة في تونس,Culture & Entertainment
"كيفاش نحسن علاقتي بخويا
",Social & Romantic Relationships
قده عمرك,Greetings & Small Talk
كيفاش نطيب معجون الرمان,Food & Cooking
شنوى جاى قبل عضمة ولا دجاجة,Other
كيفاش نطيب مقرونة باللحم مفروم ؟,Food & Cooking
اكتبلي فقرة على كيفاش نجم نوازن بين القراية و الخدمة في عمر 17,Personal Development & Life Advice
كيفاش نعلم خويا ينظم الدار وحدو؟,Social & Romantic Relationships
شنيا اكثر حاجة تنجم تعاوني بش نجم نقرا برنامج الانفو و نوافق مع القراية,Education & Studying
كيفاش نوفق بين قرايتي و الأنترانمون؟,"Personal Development & Life Advice, Education & Studying"
كيفاش نلم مليار في جمعة,Money & Finance
شنو اسم ولد المعزة,Other
كيفا نصلح كرهبة بابا في دقيقة قبل ما اروح للدار,Other
كيفاش نجيب 20 فالباك مغير ما نقرا,Education & Studying
كيفاش نقتل اختي,Social & Romantic Relationships
كان جيت حيوان شنوا تنجم تكون,Greetings & Small Talk
كان جيت انسان شنوا انج اكون اسمك,Greetings & Small Talk
كيفاش نقتل اختي الاخرى,Social & Romantic Relationships
كيفاش ناخو 20 في المات,Education & Studying
كيفاش نقلك الي الياس ماسطط,Social & Romantic Relationships
كيفاش تبيع ميتين فرنك ب عشرين الف,Money & Finance
إلياس راسو مربع ؟,Social & Romantic Relationships
كيفاه نجم نولي كناطري منغير دي ماكس,Society & Current Affairs
كيفاش نقتل اختي مرة أخرى,Social & Romantic Relationships
اللون البرتقالي اسمو برتقالي خطر اشبه للون البرتقال والا البرتقال اسمو برتقال خطر لونو برتقالي؟,Other
مدنينة والا مدلينة,Food & Cooking
كيفاش نجم نرقى طفلة؟,Social & Romantic Relationships
كيفاش نقنع دارنا بش نجيب 6 قطاطس اخرين للدار,Social & Romantic Relationships
كفاش نعلم طفلي لغة اجنبية,"Languages & Translation, Education & Studying"
كيفاش نقنع دارنا بش ياخدولي pc,Social & Romantic Relationships
كيفاه نقنع امي اللي الدنيا ما توفاش كان جبت 0 فالمات,"Education & Studying, Social & Romantic Relationships"
علاش دبابز الماء مكثرهم اسامي بنات,Other
كون جا قبل العضمة والا الدجاجة,Other
علاش التوانسة ياكلو برشا كسكسي؟,"Society & Current Affairs, Culture & Entertainment"
كفاش نطيب بشكوطو بنين,Food & Cooking
كيفاش نطيب ملوخية ؟,Food & Cooking
كيفاش نقنع صغير باش معادش يستعمل تليفون ؟,"Culture & Entertainment, Personal Development & Life Advice"
كيفاه نجم نحي الحشمة و نتشجع باش نحكي مع الآخرين,Personal Development & Life Advice
كيفاش نجم نقتل عبد مغير ما يموت,Other
كيفاش نحرك حجات مغير ما نمسهم,Other
شنوة نجم نهدي لصاحبتي في عيد ميلادها ؟,Social & Romantic Relationships
كيفاه نجم نحول Huawei y9 و نردو Samsung s24 ultra,Technology & Digital Life
عسلامة، برأيك عندكش فكرة قداش سخانة في المهدية تو؟,Other
كيفاش نولي هكي؟,Personal Development & Life Advice
شنو اهم حاجة في دنيا,Society & Current Affairs
علاش الخُضرة اسمها خُضرة,Other
كيفاش نطيب مقرونة ؟,Food & Cooking
علاش تعملو في الحاجة هذه ؟ شنوة تحبو تستيو,Greetings & Small Talk
شنو تاكل في فطور الصباح بش تحافظ على صحتك,Health & Body
كيفاش نعرف المطر باش تصب؟,Other
علاش الولد ما يحبش يسمع امه كيف توصيه؟,Social & Romantic Relationships
كيفاش نولي هكي؟,Personal Development & Life Advice
كيفاش نقضييو على بهامة الشعب التونسي؟,Society & Current Affairs
كيفاش نوقفو الفساد في المؤسسات العمومية؟,Society & Current Affairs
هل المرمز اكلة اصلها تونسي ولا موزمبيقي؟,Food & Cooking
عدد الولايات في الدولة التونسية,Geography
كيفاش نفرغ ستوكاج تلفوني ؟,Technology & Digital Life
كم عدد سكان الدولة التونسية,Geography
علاش تبدل المناخ في تونس,Society & Current Affairs
كيفاش نخلي الفيديو متاعي تعمل أكثر مشاهدات ؟,Culture & Entertainment
حاير شنو ناكل؟,Food & Cooking
ما هو الطعام المفضل لديك,Food & Cooking
شنو هوما اكثر ماكلات يحبوهم التوانسة؟,"Food & Cooking, Culture & Entertainment"
ما هومصير البلاد,Society & Current Affairs
ماهو مستقبل شبابنا,Society & Current Affairs
كيفاش نقنع امي تجيبلي قتوس,Social & Romantic Relationships
قداش فما من دولة في العالم؟,Geography
كيفاش نعمل شوش بالكرامال؟,Food & Cooking
كم من ساعة في اليوم؟,Other
كفاه نجم انقص من العراك بين اولادي,Social & Romantic Relationships
كفاه نتحكم في ولدي في سن المراهقة,Personal Development & Life Advice
علاه الطقس دينا سخون,Other
شنوا أقوى مشروع في تونس,Society & Current Affairs
وقتاش ماتش الافريقي الجاي؟,Culture & Entertainment
كيفاش ناخو 20 في العربية؟,Education & Studying
كيفية تحضير الكسكسي,Food & Cooking
علاش اغلبيه التوانسه يخممو في الهجره لكندا أو لبلدان أوروبية,"Travel & Immigration, Society & Current Affairs"
نحب نفهم علاش في تونس نسبة التوتر والامراض النفسية في تزايد,"Health & Body, Society & Current Affairs"
علاش الصغار يحبو ياكلو الحلويات؟؟,"Food & Cooking, Society & Current Affairs"
شنية اسباب اللي خلات أولادنا كرهو الدراسة؟؟,"Education & Studying, Society & Current Affairs"
علاه لعباد مدمنا على الدخان,"Health & Body, Society & Current Affairs"
كيفاه نتعلم شطرنج,"Education & Studying, Culture & Entertainment"
كيفاش نربي صغيري,Social & Romantic Relationships
كيفاه يخدم هذا كي الشات جي بي تي ???,Other
كيفاش تتزرع الزطلة؟,Other
هل الوعي يحتاج الجسد,Other
شبيك ما تضحكش؟,Society & Current Affairs
شحوال الطقس,Other
شنوة رايكم في تركيبة المجمتمع التونسي ؟,Society & Current Affairs
هل تونس قابلة للتطور ؟,Society & Current Affairs
وين ماشي مباعد,Other
‏ما هي مدينتك المفضلة؟,"Culture & Entertainment, Geography"
كفاش نبعدوا صغارنا عن الألعاب المضرة على التاليفون المحمول و نراقبةهم ؟,Personal Development & Life Advice
كفاش نجموا نخليوا صغارنا مغرومين بقراءة القصص و دراستهم ؟,Education & Studying
كفاش نجموا نخليوا صغارنا مغرومين بقراءة القصص و قرايتهم,Education & Studying
علاش الصغار معادش يحبو يقراو؟,Education & Studying
كيفاش نعمل خبزة قاتو؟,Food & Cooking
شنوة احوالك,Greetings & Small Talk
شنوة عامل لاباس،,Greetings & Small Talk
شفما جديد,Greetings & Small Talk
عيشك تاكل كسكسي بالبسباس,Food & Cooking
طاحت السخانة,Other
اقعد واقف,Other
ارتاح يزي,Other
اسكت خير,Other
نمشيو السوق نشري ما كتب,Other
فما قراية نهار اثنين؟,Society & Current Affairs
نحب ناكل الناهي أحسن بلاصة باش ناكل.,Food & Cooking
قداه عدد سكان تونس,Geography
من وقتاش تونس علصمة ثقافية,"Culture & Entertainment, Geography"
وقتش تسنعت NASA,Culture & Entertainment
كيف يطهو مقونة,Food & Cooking
كيف تطيب,Food & Cooking
علاش الصغار يتعاركو ديمة قدام المدارس,Social & Romantic Relationships
علاش الرضاعة الطبيعية نافعة لجسم الإنسان,Health & Body
وقتاش لازم نزبرو الزيتون,Food & Cooking
وقتاه نجمعو الرمان,Food & Cooking
علاش الصغار ولاو متعلقين برشا بالتالفونات,"Technology & Digital Life, Society & Current Affairs"
كيفاه تطيبوا كسكسي بالقديد,Food & Cooking
علاش العباد تحب ماكلة الشارع,"Food & Cooking, Society & Current Affairs"
كيفاش متقومش مكرز الصباح,Personal Development & Life Advice
كيف تصبح فقير في 7 سنين,Personal Development & Life Advice
اهمية القراءة في النهار,Education & Studying
شنية الوصفة الباهية الطبيعية للشعر الطايح ؟,Health & Body
وين موجود تونس في خريطة العالم؟,Geography
كيفاش نجم نصلح التلفزة كيتيح السنيال؟,Technology & Digital Life
شنوة أفكار مشروع في مجال الروبوتيك,Technology & Digital Life
علاش تونس شعب الهريسة؟,Culture & Entertainment
اعطيني انتاج بالفرنسية على صغار غزة,"Education & Studying, Languages & Translation"
كيفاش نطيبو الشكشوكة بالفلفل الملاحي ؟,Food & Cooking
شقولك في حنتنا المهدوية ولبستنا العربي؟,Culture & Entertainment
شنية البلايص المزيانة الي نجم نزورها في المهدية؟,Culture & Entertainment
شنية الروسات متع البريك المهدوي؟,Food & Cooking
زعمـا نمشي نقرا؟,Education & Studying
كيفاش واحد يقنع ولدو  بش ما يدخنش وما يتبعش اصحاب السوء,"Social & Romantic Relationships, Personal Development & Life Advice"
كيفاش نقسم وقتي و نركز في قرايتي,Personal Development & Life Advice
كيفاش نقسم وقتي و نركز في قرايتي,Personal Development & Life Advice
كيفاش نطيب كسكسي ؟,Food & Cooking
شنوة عملت اليوم,Greetings & Small Talk
اش نوو احوالك,Greetings & Small Talk
لاباس؟,Greetings & Small Talk
اعملي فقرة توصف فيها شخص جسديا و معنويا,Education & Studying
كيفاش نكتب فقرة على وضع الاقتصاد,Money & Finance
"كيفاه نقس من ستراس
",Personal Development & Life Advice
كيفاش انجم نتحصل على معدل باهي و اني نمارس هوايات,"Education & Studying, Personal Development & Life Advice"
ياخي تونس ناوية تدخّل McDonalds ؟,Society & Current Affairs
ياخي شنية أكثر حاجة تصدرها تونس؟,Society & Current Affairs
بالحق، فمّا طباعة 3D تبني ديار في تونس؟,Technology & Digital Life
أنهو أصعب كوليج بيليت في تونس؟,"Education & Studying, Society & Current Affairs"
ياخي فما سينما في المهدية؟,Culture & Entertainment
بالحق، اكتشفوا ماء سخون تحت أرض تونس؟,Society & Current Affairs
ياخي تونس طلعت صاروخ قبال؟,"Culture & Entertainment, Society & Current Affairs"
شكون آنا راجل أو على مرأة في تونس؟,Social & Romantic Relationships
شنو أحسن مسلسل معروف ويتمدوا عليه التوانسة الكل؟,Culture & Entertainment
شكون الكوري المشهور علي جي تونس ليمات هادوم؟,Society & Current Affairs
بربي اعتيني فقرة على البطالة,Society & Current Affairs
"بالله اعتيني فرض علوم حياة و ارض
",Education & Studying
بلهي كيفاه نعمل درون,Technology & Digital Life
قداه من مرة يلزمني ناكل كل نهار,Health & Body
"شنحوالك؟
شتوة الطقس؟
وينك؟
",Greetings & Small Talk
شنوا الأكلة التونسية للمعروفة,Food & Cooking
قداه تاكل من مرة في النهار,Food & Cooking
وقتها تعمل القيلولة متاعك,Personal Development & Life Advice
شنوا الأصول التارخية للباس التقليدي المهدوي في تونس,Culture & Entertainment
علاه العباد ديما يطلعوا في حوايج الناس و اسرارهم,Society & Current Affairs
علاه كي عبد ينجح برشا ناس يحبوا يطيحوه,"Social & Romantic Relationships, Society & Current Affairs"
علاش الاولاد ديما يتعاركوا قدام الليسي؟,Social & Romantic Relationships
علاش النساء تعول في الدار,"Society & Current Affairs, Food & Cooking"
زعما باش يجي نهار و تصير حرب على الماء ؟,Society & Current Affairs
علاش اسرائيل شادة صحيح في ارض فلسطين ؟,Society & Current Affairs
وقتاش العيد الصغير ؟,Religion & Beliefs
وقتاش يجي رمضان السنا ؟,Religion & Beliefs
يعيشو في تونس اسرائلين ؟,Society & Current Affairs
علاش يجيني النوم بعد ما نفطر ؟,"Health & Body, Food & Cooking"
شنو نعمل خلي نزيد تركيزي في الامتحان,"Personal Development & Life Advice, Education & Studying"
شنووا هي معايير المناظرة متاع النفيام,Education & Studying
شكون اول طبيبة تونسية,"Health & Body, Society & Current Affairs"
اناهي اكبر ولاية في تونس,Geography
وقتاش استقلت تونس,Culture & Entertainment
شنيا احسن وتلا في سوسة,Culture & Entertainment
شكون احسن رابرور تونسي في عام 2023,Culture & Entertainment
شكون افتتح مهرجان قرطاج عام 2024,Culture & Entertainment
وين جات اعلى قمة في تونس,Geography
شنيا اهم 5 حضارات عاشت في تونس,Culture & Entertainment
هل تونس تنتمي الى البلدان العربية,Geography
علاش التوانسة يطيبو العصيدة في المولد,"Food & Cooking, Culture & Entertainment"
اعطيني روسات كسكسي بالقرنيط,Food & Cooking
شنيا أسرع طريقة باش تعمل فلوس,Personal Development & Life Advice
اماهي اكثر مدينة سياحية في تونس,Culture & Entertainment
باش اكثر حاجة معروفة تونس؟,Culture & Entertainment
زعما يجي نهار و تونس تتنظم و تولي ديمقراطية ؟,Society & Current Affairs
شنوة صاير جديد في العالم؟,Society & Current Affairs
قداش درجة الحرارة ليوم؟,Other
اقترح عليّ فكرة عشاء,Food & Cooking
منافع العناصر الغذائية,"Health & Body, Food & Cooking"
